species,lon,lat,oppc,n
fulanus_fulanus,-35.56470108,-8.201109886,2131,1088
fulanus_fulanus,-50.817975,-1.938861,1153,1088
fulanus_fulanus,-48.6195,-1.517772,1078,1088
fulanus_fulanus,-65.153333,-4.885833,1598,1088
fulanus_fulanus,-47.778333,-1.916667,1159,1088
fulanus_fulanus,-39.07,-15.166667,3230,1088
fulanus_fulanus,-39.810278,-18.742222,3782,1088
fulanus_fulanus,-39.846111,-18.385833,3782,1088
fulanus_fulanus,-39.85889816,-18.71610069,3782,1088
fulanus_fulanus,-39.719167,-18.420556,3782,1088
fulanus_fulanus,-39.804722,-18.743056,3782,1088
fulanus_fulanus,-39.0056,-15.3153,3309,1088
fulanus_fulanus,-40.3928,-20.5481,4097,1088
fulanus_fulanus,-39.066867,-15.168567,3230,1088
fulanus_fulanus,-72,-7,1901,1088
fulanus_fulanus,-47.1137738,-1.5520179,1081,1088
fulanus_fulanus,-48.4018296,-1.4548669,1079,1088
fulanus_fulanus,-68.6706018,0.2819527,722,1088
fulanus_fulanus,-62.6839542,-6.9876421,1919,1088
fulanus_fulanus,-48.1967,-1.96083,1158,1088
fulanus_fulanus,-68.5121369,0.2251762,801,1088
fulanus_fulanus,-68.87249756,-3.378329992,1354,1088
fulanus_fulanus,-50.816435,-1.94071,1153,1088
fulanus_fulanus,-35.112692,-6.424511,1895,1088
fulanus_fulanus,-39.1956,-17.5194,3625,1088
fulanus_fulanus,-40.0719,-19.3911,3939,1088
fulanus_fulanus,-41.1344,-20.3397,4095,1088
fulanus_fulanus,-39.0492,-14.7892,3230,1088
fulanus_fulanus,-39.1067,-13.5994,2993,1088
fulanus_fulanus,-39.5506,-18.0867,3703,1088
fulanus_fulanus,-39.2842,-14.5933,3151,1088
fulanus_fulanus,-35.0022,-7.5608,2053,1088
fulanus_fulanus,-39.2540887,-15.1469363,3230,1088
fulanus_fulanus,-39.0918258,-13.6098971,2993,1088
fulanus_fulanus,-38.9967,-14.2778,3152,1088
fulanus_fulanus,-39,-15.33,3310,1088
fulanus_fulanus,-35.90000153,-8.658329964,2210,1088
fulanus_fulanus,-42.1391983,-19.78969955,4014,1088
fulanus_fulanus,-41.818889,-19.736389,3936,1088
fulanus_fulanus,-40.589167,-19.922222,4017,1088
fulanus_fulanus,-40.530278,-19.971389,4017,1088
fulanus_fulanus,-40.6075,-19.931389,4017,1088
fulanus_fulanus,-40.683333,-19.931111,4017,1088
fulanus_fulanus,-40.541944,-19.844722,4017,1088
fulanus_fulanus,-40.575556,-19.887222,4017,1088
fulanus_fulanus,-40.593889,-19.973333,4017,1088
fulanus_fulanus,-40.455278,-19.247222,3860,1088
fulanus_fulanus,-40.553056,-19.9075,4017,1088
fulanus_fulanus,-40.697222,-20.043333,4017,1088
fulanus_fulanus,-40.55,-20.266667,4096,1088
fulanus_fulanus,-40.74610138,-20.04059982,4017,1088
fulanus_fulanus,-39.802369,-18.282278,3782,1088
fulanus_fulanus,-40.537222,-19.804167,4017,1088
fulanus_fulanus,-40.620556,-19.931111,4017,1088
fulanus_fulanus,-40.683611,-19.931111,4017,1088
fulanus_fulanus,-40.59,-19.933333,4017,1088
fulanus_fulanus,-40.534444,-19.950556,4017,1088
fulanus_fulanus,-37.853611,-12.151944,2759,1088
fulanus_fulanus,-39.033333,-15.315278,3309,1088
fulanus_fulanus,-37.979444,-12.374444,2838,1088
fulanus_fulanus,-37.979444,-12.373889,2838,1088
fulanus_fulanus,-34.906139,-7.834444,2133,1088
fulanus_fulanus,-35.838967,-8.714236,2210,1088
fulanus_fulanus,-39.8,-18.266667,3782,1088
fulanus_fulanus,-39.732222,-18.593333,3782,1088
fulanus_fulanus,-40.423333,-20.598333,4097,1088
fulanus_fulanus,-39.007778,-15.34,3309,1088
fulanus_fulanus,-39.002222,-13.3025,2993,1088
fulanus_fulanus,-38.998889,-13.246389,2915,1088
fulanus_fulanus,-38.9625,-14.023889,3073,1088
fulanus_fulanus,-39.358333,-17.774444,3704,1088
fulanus_fulanus,-39.069167,-15.165833,3230,1088
fulanus_fulanus,-39.043611,-14.5175,3151,1088
fulanus_fulanus,-44.566667,-22.25,4404,1088
fulanus_fulanus,-39.823694,-18.282278,3782,1088
fulanus_fulanus,-39.083333,-13.6,2993,1088
fulanus_fulanus,-39.3,-14.566667,3151,1088
fulanus_fulanus,-42.9125,-22.48222222,4408,1088
fulanus_fulanus,-43,-22.4333333,4408,1088
fulanus_fulanus,-42.983333,-22.433333,4408,1088
fulanus_fulanus,-42.53110123,-22.28190041,4408,1088
fulanus_fulanus,-39.565278,-15.391667,3308,1088
fulanus_fulanus,-39.651389,-13.116667,2913,1088
fulanus_fulanus,-39.609722,-14.691111,3150,1088
fulanus_fulanus,-39.603333,-14.701667,3150,1088
fulanus_fulanus,-39.609722,-14.357778,3150,1088
fulanus_fulanus,-39.536111,-14.770278,3229,1088
fulanus_fulanus,-39.5975,-14.686667,3150,1088
fulanus_fulanus,-42.39170074,-22.6508007,4409,1088
fulanus_fulanus,-39.52330017,-12.77190018,2913,1088
fulanus_fulanus,-42.98189926,-22.53720093,4408,1088
fulanus_fulanus,-42.406389,-22.355278,4409,1088
fulanus_fulanus,-42.847222,-22.079444,4329,1088
fulanus_fulanus,-42.833333,-22.433333,4408,1088
fulanus_fulanus,-43.402056,-19.396361,3933,1088
fulanus_fulanus,-39.5653,-15.3917,3308,1088
fulanus_fulanus,-43.0406,-22.6531,4407,1088
fulanus_fulanus,-42.96559906,-22.41220093,4408,1088
fulanus_fulanus,-42.25,-22.5,4409,1088
fulanus_fulanus,-43.82780075,-22.08919907,4327,1088
fulanus_fulanus,-39.475833,-12.853333,2914,1088
fulanus_fulanus,-39.49580002,-15.41919994,3309,1088
fulanus_fulanus,-65.583333,-1.833333,1123,1088
fulanus_fulanus,-67.216667,0.916667,646,1088
fulanus_fulanus,-65.078056,-0.254167,887,1088
fulanus_fulanus,-60.41809845,0.946111023,660,1088
fulanus_fulanus,-55.86610031,-1.765560031,1143,1088
