"biosphere","life_style","ecosystem","habitat","latitude","longitude","microGroup","meanAbu","meanRich"
"freshwater","free-living","freshwater","river",39.29577,-77.792231,"CPR",0.0124671231313699,85
"freshwater","free-living","freshwater","river",39.29577,-77.792231,"DPANN",0.00014043067356987,6
"freshwater","free-living","freshwater","river",39.367842,-77.388236,"Bonafide",0.984145370159401,58
"freshwater","free-living","freshwater","river",39.367842,-77.388236,"CPR",0.015577078385223,86
"freshwater","free-living","freshwater","river",39.367842,-77.388236,"DPANN",0.00027755145537564,6
"freshwater","free-living","freshwater","river",39.369119,-77.3855,"Bonafide",0.991873323965688,58
"freshwater","free-living","freshwater","river",39.369119,-77.3855,"CPR",0.00798877529115061,86
"freshwater","free-living","freshwater","river",39.369119,-77.3855,"DPANN",0.00013790074316151,6
"freshwater","free-living","freshwater","river",39.454971,-77.737793,"Bonafide",0.988857392076899,58
"freshwater","free-living","freshwater","river",39.454971,-77.737793,"CPR",0.0110246026455166,84
"freshwater","free-living","freshwater","river",39.454971,-77.737793,"DPANN",0.00011800527758397,5
"freshwater","free-living","freshwater","river",39.626218,-77.439928,"Bonafide",0.991501128368205,57
"freshwater","free-living","freshwater","river",39.626218,-77.439928,"CPR",0.00836627536806291,85
"freshwater","free-living","freshwater","river",39.626218,-77.439928,"DPANN",0.00013259626373194,6
"freshwater","free-living","freshwater","river",39.629695,-77.462659,"Bonafide",0.986917734037534,58
"freshwater","free-living","freshwater","river",39.629695,-77.462659,"CPR",0.0129390315286125,85
"freshwater","free-living","freshwater","river",39.629695,-77.462659,"DPANN",0.0001432344338532,6
"freshwater","free-living","freshwater","river",39.631216,-77.454625,"Bonafide",0.991106927367752,58
"freshwater","free-living","freshwater","river",39.631216,-77.454625,"CPR",0.00875851405888693,86
"freshwater","free-living","freshwater","river",39.631216,-77.454625,"DPANN",0.00013455857336117,6
"freshwater","free-living","freshwater","river",39.633364,-77.450235,"Bonafide",0.991782302078553,58
